1, 4757320
2, 802884
3, 239386
4, 70071
5, 22523
6, 8193
7, 2765
8, 1153
9, 451
10, 185
11, 93
12, 27
13, 12
14, 2
15, 2
16, 5
17, 7
18, 5
19, 3
20, 1
21, 6
22, 4
23, 3
24, 2
25, 3
26, 4
27, 3
28, 1
29, 1
30, 12
31, 11
32, 5
33, 6
34, 13
35, 11
36, 11
37, 13
38, 7
39, 14
40, 9
41, 9
42, 7
43, 8
44, 3
45, 8
46, 13
47, 14
48, 11
49, 13
50, 14
51, 3
52, 6
53, 8
54, 7
55, 9
56, 9
57, 8
58, 4
59, 6
60, 14
61, 10
62, 12
63, 10
64, 13
65, 5
66, 13
67, 9
68, 16
69, 23
70, 31
71, 37
72, 51
73, 61
74, 70
75, 92
76, 121
77, 139
78, 144
79, 180
80, 212
81, 230
82, 249
83, 269
84, 335
85, 323
86, 331
87, 363
88, 390
89, 360
90, 379
91, 411
92, 411
93, 392
94, 387
95, 355
96, 320
97, 338
98, 335
99, 247
100, 286
101, 223
102, 163
103, 159
104, 138
105, 137
106, 85
107, 74
108, 67
109, 60
110, 47
111, 32
112, 29
113, 19
114, 19
115, 12
116, 11
117, 5
118, 18
119, 6
120, 6
121, 1
122, 3
123, 4
124, 2
125, 1
