1, 916554
2, 35980
3, 18311
4, 15560
5, 12630
6, 12363
7, 10951
8, 9435
9, 8504
10, 7847
11, 7747
12, 6709
13, 6253
14, 5679
15, 5475
16, 4978
17, 4536
18, 4066
19, 3871
20, 3941
21, 3824
22, 3458
23, 3063
24, 3120
25, 2905
26, 2749
27, 2649
28, 2503
29, 2534
30, 2337
31, 2172
32, 2284
33, 2011
34, 1782
35, 1859
36, 1745
37, 1729
38, 1564
39, 1451
40, 1372
41, 1306
42, 1217
43, 1285
44, 1074
45, 1056
46, 1113
47, 977
48, 1016
49, 1031
50, 957
51, 934
52, 913
53, 832
54, 802
55, 810
56, 645
57, 766
58, 711
59, 767
60, 731
61, 721
62, 615
63, 675
64, 606
65, 645
66, 601
67, 552
68, 536
69, 528
70, 491
71, 497
72, 466
73, 491
74, 415
75, 443
76, 433
77, 418
78, 410
79, 363
80, 332
81, 367
82, 334
83, 373
84, 369
85, 333
86, 304
87, 277
88, 312
89, 312
90, 284
91, 280
92, 282
93, 250
94, 250
95, 266
96, 266
97, 225
98, 206
99, 227
100, 216
101, 226
102, 201
103, 218
104, 176
105, 175
106, 190
107, 201
108, 163
109, 195
110, 194
111, 193
112, 168
113, 182
114, 169
115, 161
116, 169
117, 143
118, 154
119, 143
120, 182
121, 139
122, 153
123, 132
124, 130
125, 138
126, 134
127, 119
128, 162
129, 117
130, 106
131, 97
132, 111
133, 86
134, 96
135, 91
136, 132
137, 77
138, 82
139, 87
140, 84
141, 66
142, 83
143, 89
144, 82
145, 94
146, 78
147, 69
148, 64
149, 67
150, 51
151, 55
152, 61
153, 67
154, 61
155, 58
156, 58
157, 48
158, 53
159, 56
160, 44
161, 57
162, 52
163, 38
164, 37
165, 55
166, 51
167, 45
168, 40
169, 55
170, 50
171, 48
172, 41
173, 44
174, 49
175, 54
176, 40
177, 43
178, 37
179, 47
180, 44
181, 39
182, 47
183, 30
184, 24
185, 40
186, 43
187, 37
188, 41
189, 31
190, 36
191, 38
192, 49
193, 47
194, 41
195, 40
196, 33
197, 41
198, 38
199, 46
200, 46
201, 40
202, 41
203, 43
204, 42
205, 37
206, 42
207, 40
208, 35
209, 34
210, 20
211, 39
212, 35
213, 34
214, 29
215, 24
216, 32
217, 32
218, 32
219, 23
220, 33
221, 38
222, 28
223, 30
224, 28
225, 19
226, 20
227, 18
228, 22
229, 19
230, 25
231, 34
232, 21
233, 24
234, 26
235, 25
236, 28
237, 27
238, 20
239, 25
240, 21
241, 21
242, 20
243, 19
244, 27
245, 22
246, 24
247, 16
248, 21
249, 20
250, 16
251, 10
252, 13
253, 17
254, 16
255, 13
256, 13
257, 17
258, 17
259, 17
260, 10
261, 9
262, 11
263, 12
264, 8
265, 10
266, 10
267, 13
268, 16
269, 8
270, 12
271, 6
272, 8
273, 7
274, 11
275, 9
276, 11
277, 10
278, 12
279, 9
280, 10
281, 10
282, 15
283, 11
284, 13
285, 10
286, 9
287, 7
288, 12
289, 13
290, 16
291, 8
292, 8
293, 11
294, 8
295, 9
296, 6
297, 11
298, 13
299, 4
300, 11
301, 7
302, 8
303, 10
304, 8
305, 14
306, 8
307, 13
308, 16
309, 9
310, 13
311, 9
312, 9
313, 15
314, 11
315, 10
316, 9
317, 10
318, 10
319, 16
320, 17
321, 10
322, 19
323, 19
324, 13
325, 11
326, 21
327, 21
328, 15
329, 14
330, 8
331, 12
332, 22
333, 9
334, 15
335, 14
336, 18
337, 17
338, 17
339, 20
340, 11
341, 17
342, 13
343, 11
344, 12
345, 15
346, 16
347, 14
348, 12
349, 13
350, 14
351, 8
352, 8
353, 13
354, 15
355, 12
